,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)"
"[[], [3, 8], [9], [], []]",74.1524101182993,0.0,0.0,,6.6,0.0,0.0,5.7,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.400999999999999,,,0.0,0.0,6.6,0.0,,6.8999999999999995,6.6,0.0,6.0,,,0.0,14.067,0.0,0.0,,0.0,6.3,0.0,0.0,,,12.536999999999999,0.0,12.536999999999999,21.10914,,0.0,0.0,0.0,14.9841,,,0.0
"[[0], [3, 8], [9], [], []]",,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,8.7,-8.7,,9.0,8.7,0.0,12.02994,,,0.0,,0.0,0.0,,22.302149999999997,17.442,0.0,0.0,,,17.378999999999998,,0.0,0.0,,0.0,10.905,0.0,8.1,,,0.0,,0.0,0.0,,0.0,10.905,9.815999999999999,15.911999999999999,,,75.18829390490316
"[[0], [3, 8], [9], [], [10]]",,10.5,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,10.2,0.0,0.0,,,,,0.0,11.1,,0.0,10.5,68.5446903513004,0.0,,,,,10.2,11.1,,0.0,0.0,0.0,18.714,,,,,10.5,0.0,,0.0,0.0,0.0,0.0,,,
"[[0], [3, 8], [6, 9], [], [10]]",,64.63140074708998,0.0,,0.0,0.0,,20.496000000000002,,,,,10.799999999999999,-8.7,,0.0,21.006,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,10.799999999999999,,10.2,,,,,0.0,12.0,,11.7,0.0,,0.0,,,
"[[0, 1], [3, 8], [6, 9], [], [10]]",,,-14.79,,-8.7,0.0,,0.0,,,,,,0.0,,58.7578806,0.0,,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,12.9,0.0,,0.0,,,,,,0.0,,0.0,0.0,,12.299999999999999,,,
"[[], [3], [], [], [5]]",0.0,0.0,0.0,,0.0,,0.0,0.0,4.5,9.495899999999999,0.0,0.0,0.0,11.712,,11.202,,0.0,0.0,21.580999674989265,0.0,0.0,0.0,0.0,5.7,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,47.309421174501715,0.0,16.522479,4.5,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,4.8,0.0
"[[], [3], [], [6], [5]]",54.44263784962506,5.3999999999999995,6.3,,0.0,,,0.0,0.0,0.0,5.3999999999999995,0.0,0.0,0.0,,0.0,,,0.0,5.7,0.0,0.0,12.410999999999998,0.0,6.3,,0.0,,,0.0,0.0,0.0,0.0,0.0,5.7,0.0,,0.0,,,0.0,0.0,5.1,0.0,6.6,0.0,0.0,,0.0,,,5.3999999999999995,0.0,5.3999999999999995,5.7
"[[0], [3], [], [6], [5]]",,58.37717850503607,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,9.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,8.1,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,14.703,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0
"[[0, 1], [3], [], [6], [5]]",,,-8.7,,-8.7,,,9.299999999999999,9.6,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,9.9,,,62.08419971459999,,0.0,,,0.0,0.0,0.0,0.0,,,10.5,,0.0,,,0.0,0.0,0.0,9.9,,,0.0,,0.0,,,0.0,0.0,0.0,0.0
"[[], [3, 8], [], [], [4]]",0.0,0.0,7.8,,,0.0,0.0,0.0,,0.0,6.8999999999999995,15.465,6.8999999999999995,-8.7,,,6.8999999999999995,6.0,8.126999999999999,,0.0,8.853,7.8,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,75.02357007365009,,,8.853,0.0,0.0,,0.0,0.0,0.0,7.5,0.0,,,0.0,14.433,0.0,,0.0,0.0
"[[], [3, 8], [], [2], [4]]",81.56233376820306,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,9.299999999999999,,,,0.0,0.0,0.0,,0.0,0.0,0.0,17.951999999999998,,,,0.0,8.4,0.0,,0.0,9.299999999999999,0.0,0.0,,,,0.0,0.0,8.7,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0
"[[0], [3, 8], [], [2], [4]]",,93.66921755607977,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,10.799999999999999,0.0,,11.4,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0
"[[0, 1], [3, 8], [], [2], [4]]",,,,,,103.93260343324026,24.381,0.0,,13.5,13.5,,,,,,0.0,0.0,0.0,,13.2,0.0,,,,,,0.0,15.623999999999999,0.0,,0.0,13.5,,,,,,0.0,12.6,0.0,,0.0,16.823999999999998,,,,,,0.0,13.2,13.5,,0.0,0.0
"[[0, 1, 5], [3, 8], [], [2], [4]]",,,,,,,-8.7,-8.7,,-8.7,0.0,,,,,,,14.399999999999999,0.0,,0.0,0.0,,,,,,,0.0,0.0,,0.0,15.299999999999999,,,,,,,94.68065505382648,14.7,,0.0,15.6,,,,,,,28.839,15.299999999999999,,0.0,0.0
"[[8], [], [], [], []]",47.80410503481538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,3.0,2.6999999999999997,1.7999999999999998,2.1,,2.4,3.645,0.0,5.661,3.5999999999999996,3.0,10.19124,2.6999999999999997,1.7999999999999998,0.0,,2.4,0.0,0.0,2.6999999999999997,3.5999999999999996,0.0,3.0,0.0,0.0,0.0,,0.0,6.0642,0.0,2.6999999999999997,3.5999999999999996,3.0,0.0,0.0,0.0,8.736398999999999,,0.0,0.0
"[[0, 8], [], [], [], []]",,52.7529664686672,6.3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,5.1,0.0,0.0,0.0,5.1,0.0,0.0,,10.4721,0.0,,0.0,0.0,5.3999999999999995,0.0,5.1,8.463000000000001,0.0,,4.8,0.0,,9.671532,0.0,0.0,0.0,0.0,0.0,11.34684,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.611999999999999
"[[0, 1, 8], [], [], [], []]",,,-8.7,-8.7,-8.7,0.0,-8.7,-8.7,,0.0,0.0,,,8.1,0.0,7.5,0.0,0.0,6.6,,6.8999999999999995,0.0,,,0.0,0.0,0.0,7.199999999999999,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,6.3,0.0,,0.0,12.239999999999998,,,51.719426915050676,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
"[[], [4], [], [], []]",0.0,0.0,0.0,0.0,,43.22270695440276,2.4,0.0,0.0,0.0,0.0,0.0,0.0,8.91,0.0,,0.0,0.0,4.497,0.0,14.016614999999998,0.0,12.79278,3.3,0.0,4.859999999999999,,3.3,2.4,0.0,6.234,0.0,4.497,0.0,0.0,6.16497,0.0,,0.0,0.0,3.771,0.0,6.045,4.433999999999999,0.0,3.3,0.0,0.0,,0.0,2.4,0.0,0.0,0.0,0.0
"[[5], [4], [], [], []]",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,48.757867965752325,4.5,0.0,4.8,0.0,0.0,0.0,5.1,,,3.9,0.0,0.0,0.0,0.0,0.0,4.8,0.0,5.1,,,0.0,0.0,0.0,4.5,0.0
"[[5], [4], [7], [], []]",0.0,12.158999999999999,0.0,0.0,,,0.0,,5.7,0.0,0.0,0.0,6.3,53.53025102529024,6.6,,,5.3999999999999995,,0.0,5.7,0.0,6.8999999999999995,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,5.7,0.0,0.0,,,4.8,,5.3999999999999995,5.3999999999999995,5.7,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
"[[1, 5], [4], [7], [], []]",0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.494,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
"[[1, 5], [4], [7], [6], []]",0.0,,0.0,0.0,,,,,0.0,0.0,8.4,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,8.7,0.0,,0.0,0.0,,,,,0.0,0.0,0.0
"[[1, 5, 10], [4], [7], [6], []]",-8.7,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,
"[[], [3, 8], [], [], [6]]",75.86713181108621,0.0,0.0,,0.0,0.0,,5.1,,0.0,5.7,6.6,5.7,0.0,,0.0,0.0,,0.0,,5.3999999999999995,0.0,0.0,5.7,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,5.7,6.6,,0.0,11.82759,,5.1,,0.0,0.0,0.0,6.0,0.0,,20.725775999999996,7.763999999999999,,5.3999999999999995,,5.3999999999999995,0.0
"[[0], [3, 8], [], [], [6]]",,81.58411886298173,15.3,,8.7,0.0,,0.0,,0.0,0.0,,0.0,0.0,,14.280000000000001,0.0,,7.5,,0.0,0.0,,10.179,17.567999999999998,,16.422,10.179,,0.0,,7.8,0.0,,8.1,9.0,,8.4,0.0,,0.0,,15.276,0.0,,10.415999999999999,18.11043,,0.0,0.0,,7.8,,0.0,0.0
